index;word,classification_acc
257;stood;0.42286501377410474
80;only;0.426078971533517
994;faith;0.42814508723599637
420;state;0.44054178145087236
701;goes;0.45844811753902664
976;rooms;0.46143250688705234
22;but;0.46235078053259865
126;long;0.46395775941230494
312;began;0.46441689623507804
510;wonder;0.46510560146923785
