index;word;classification_acc
1496;muttered;0.3014876033057851
223;enough;0.30611570247933884
444;general;0.31834710743801653
11;was;0.31834710743801653
1953;enjoyed;0.32694214876033056
1612;opinions;0.3279338842975207
454;lost;0.3279338842975207
190;woman;0.32925619834710745
181;home;0.33289256198347106
430;daughter;0.3368595041322314
